HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Cabin_num,Side
Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,False,B,0.0,P
Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,True,F,0.0,S
Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,A,0.0,S
Europa,0,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,A,0.0,S
Earth,0,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,True,F,1.0,S
Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,True,F,0.0,P
Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,F,2.0,S
Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,True,G,0.0,S
Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,True,F,3.0,S
Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,True,B,1.0,P
Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,True,B,1.0,P
Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,B,1.0,P
Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,F,1.0,P
Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,False,G,1.0,S
Earth,0,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,True,F,2.0,P
Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,False,,,
Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,False,F,3.0,P
Earth,0,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,False,F,4.0,P
Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,True,F,5.0,P
Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,True,G,0.0,P
Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,False,F,6.0,P
